state,year,ndeath,nod,pod
TN,2015,838607,16367,0.019516889317642235
TN,2016,845502,18632,0.022036612568627868
TN,2017,872556,20761,0.023793315271455357
TN,2018,896800,21758,0.024261819803746656
TN,2019,897728,23764,0.026471269694161262
TN,2020,960023,31681,0.033000251035652274
TN,2021,1129860,42708,0.03779937337369232
TN,2022,1120686,45540,0.04063582484299795
TN,2023,1012861,46117,0.045531420402207215
TX,2015,2289797,30794,0.013448353718692093
TX,2016,2308662,32557,0.014102107627708171
TX,2017,2369974,34262,0.014456698681082578
TX,2018,2464268,35934,0.014582017864940015
TX,2019,2442420,35795,0.014655546548095741
TX,2020,2691024,44082,0.0163811248060218
TX,2021,3281079,56194,0.017126683021042772
TX,2022,3111566,61480,0.019758539590675563
TX,2023,2819051,67880,0.024079025175493454
US,2015,32430672,601011,0.018532178426644997
US,2016,32586196,696602,0.021377211381162747
US,2017,33517145,825837,0.02463924060357766
US,2018,34181114,825995,0.024165245170183744
US,2019,34024454,822382,0.024170321733891748
US,2020,37005981,995835,0.026910109476627576
US,2021,41848568,1216980,0.029080564955054136
US,2022,40995528,1295774,0.03160769145356537
US,2023,37822472,1310571,0.03465059079163308
UT,2015,212365,7433,0.035001059496621384
UT,2016,219344,8333,0.03799055365088628
UT,2017,222049,7485,0.03370877599088489
UT,2018,227018,7836,0.03451708675083033
UT,2019,230380,6984,0.03031513152183349
UT,2020,244505,7081,0.028960552953927323
UT,2021,276175,7995,0.02894903593735856
UT,2022,284347,7764,0.027304666481446964
UT,2023,265456,8110,0.03055120245916461
VA,2015,774031,11819,0.015269414274105301
VA,2016,775307,14327,0.01847913149242816
VA,2017,802829,17070,0.021262311152188074
VA,2018,817646,17155,0.020980962421390185
VA,2019,825756,17822,0.021582646689821208
VA,2020,885769,22322,0.025200701311515757
VA,2021,1001281,29678,0.029640031120135107
VA,2022,1014327,30148,0.02972217046376563
VA,2023,944015,30061,0.0318437736688506
VT,2015,68864,1094,0.015886384758364312
VT,2016,68688,1363,0.019843349638947124
VT,2017,69528,1633,0.02348694051317455
VT,2018,69687,1614,0.023160704292048733
VT,2019,68254,1615,0.023661616901573534
VT,2020,70616,1717,0.024314602922850346
VT,2021,76201,2698,0.035406359496594535
VT,2022,81596,3123,0.03827393499681357
VT,2023,78604,3142,0.0399725204824182
WA,2015,643835,12643,0.01963701880140098
WA,2016,656102,13830,0.021079039539583785
WA,2017,676325,13223,0.019551251247551103
WA,2018,680952,14024,0.020594696836194033
WA,2019,691003,14446,0.02090584266638495
WA,2020,719399,17986,0.025001424800423687
WA,2021,787732,24129,0.030630976017224133
WA,2022,840629,29299,0.03485366314985564
WA,2023,809043,39093,0.0483200522098331
WI,2015,614301,10378,0.01689399821911408
WI,2016,612995,11926,0.019455297351528154
WI,2017,626083,13577,0.021685623152201863
WI,2018,640793,13474,0.02102707114465982
WI,2019,639111,13617,0.021306158085215243
